,1,0
 GO:0051281,2,0
 GO:0007161,2,0
 GO:0007160,9,0
 GO:0007163,1,0
 GO:0007162,2,1
 GO:0007165,9,0
 GO:0007166,2,0
 GO:0009651,1,0
 GO:0009650,2,1
 GO:0036042,1,0
 GO:0055093,4,1
 GO:0051771,1,0
 GO:0055091,1,0
 GO:0007219,5,2
 GO:0003714,3,0
 GO:0097435,1,0
 GO:0003713,9,0
 GO:0008526,1,0
 GO:0051917,1,0
 GO:0006361,1,0
 GO:0006363,1,0
 GO:0006364,4,0
 GO:0006366,3,0
 GO:0007183,1,0
 GO:0043021,1,0
 GO:0043022,8,0
 GO:0043023,4,0
 GO:0007187,1,0
 GO:0043025,17,0
 GO:0051919,1,0
 GO:0051918,2,0
 GO:0032743,1,0
 GO:0051593,1,0
 GO:0051592,7,0
 GO:0051591,4,0
 GO:0016324,5,0
 GO:0051599,2,1
 GO:0006105,1,0
 GO:0033344,3,0
 GO:0086091,2,1
 GO:1903214,1,0
 GO:0006102,2,1
 GO:0006103,3,1
 GO:0001541,3,0
 GO:1990573,1,0
GO:0005856,2,0
 GO:0017166,5,0
 GO:0017160,1,0
 GO:0019208,1,0
 GO:0006298,1,0
 GO:0005929,2,0
 GO:0005925,73,2
 GO:0005924,1,0
 GO:0005923,2,0
 GO:0005921,2,0
 GO:0005584,2,0
 GO:0005587,2,0
 GO:0005581,1,0
 GO:0005851,1,0
 GO:0005850,1,0
 GO:0004520,1,0
 GO:0004521,1,0
 GO:0005859,1,0
GO:0005938,3,0
 GO:0006749,6,0
GO:0005930,1,0
 GO:0002042,1,0
 GO:1903364,3,0
 GO:0046039,1,0
 GO:0046034,3,1
 GO:0042063,1,0
 GO:0042060,8,2
 GO:0072657,1,0
 GO:0072307,1,0
 GO:0072659,2,0
 GO:0061481,1,0
 GO:0050544,3,0
 GO:0004298,10,0
GO:0031012,1,0
 GO:0004450,1,1
 GO:0004459,1,0
 GO:0005102,15,1
 GO:0045963,1,0
GO:0005737,97,2
 GO:0035774,1,0
 GO:0006631,3,0
 GO:0006637,2,0
 GO:0035773,1,0
 GO:0006635,7,0
 GO:0034604,1,0
 GO:0034605,1,0
 GO:0031492,1,0
GO:0005739,2,0
 GO:0048754,3,0
 GO:0046326,1,0
 GO:0046329,1,0
 GO:0004857,1,0
 GO:0042531,1,0
 GO:0034190,1,0
 GO:0034191,1,0
 GO:0010165,1,0
 GO:0050766,3,0
 GO:0050765,2,0
GO:0030529,2,0
 GO:0004180,1,0
 GO:0004181,1,0
 GO:0046813,1,0
 GO:0004674,1,0
 GO:0004673,1,0
 GO:0031105,1,0
 GO:0031103,1,0
 GO:0031100,5,0
 GO:0005215,1,0
 GO:0002036,1,0
 GO:0005212,1,0
 GO:0045211,1,0
 GO:0010811,2,0
 GO:0045213,1,0
 GO:0014068,4,2
 GO:0014069,4,0
 GO:0045216,1,0
 GO:1990000,1,0
 GO:1901216,1,0
 GO:1901215,2,0
 GO:0014067,1,0
 GO:0072274,1,0
 GO:0002031,1,0
 GO:0004565,1,0
 GO:0030674,4,1
 GO:0031838,1,0
 GO:0001222,1,0
 GO:0030670,5,0
 GO:0098794,1,0
 GO:0098792,4,0
 GO:0070653,1,0
 GO:1901030,1,0
 GO:0004074,1,0
 GO:0034976,5,0
 GO:0060193,1,0
 GO:0060192,1,0
 GO:0020027,2,1
 GO:2000541,1,0
 GO:1902546,1,0
 GO:0006412,14,0
 GO:0005768,10,0
 GO:0090307,2,0
 GO:0010903,1,0
 GO:0090303,1,0
 GO:0060976,1,0
 GO:0005681,9,0
 GO:0030073,1,0
 GO:0001649,10,1
 GO:0045780,2,0
 GO:0045787,1,0
 GO:0090168,1,0
 GO:0045785,1,0
 GO:0001825,1,0
 GO:0001822,5,2
 GO:0019682,1,0
 GO:0071438,1,0
 GO:0070436,1,0
 GO:2000401,1,0
 GO:0090498,1,0
 GO:0045545,1,0
 GO:0045541,1,0
GO:0000777,1,0
 GO:0018171,1,0
 GO:0031258,3,0
 GO:0032290,1,0
GO:0045121,1,0
 GO:0031252,1,0
 GO:0031253,1,0
 GO:0048210,1,0
 GO:0001738,2,0
 GO:0009267,2,0
 GO:0009268,1,0
 GO:0043235,1,0
 GO:0043234,23,0
 GO:0043237,1,0
 GO:0043236,3,0
 GO:0043231,17,1
 GO:0044548,1,0
 GO:0010494,3,0
 GO:0042113,1,0
 GO:0071320,2,0
 GO:0044233,1,0
 GO:0001916,2,0
 GO:0070508,1,0
 GO:0070507,2,0
 GO:0001919,1,0
 GO:0032127,1,0
 GO:0008021,6,0
 GO:0008022,9,1
 GO:0031490,3,0
 GO:0098779,8,0
 GO:0043523,2,0
 GO:0043525,2,0
 GO:0043524,10,0
 GO:0051612,1,0
 GO:0007517,3,0
 GO:0051346,2,0
 GO:0007512,1,0
 GO:0051345,1,0
 GO:0043653,1,0
 GO:0007519,5,1
 GO:0030850,2,0
 GO:0030857,1,0
 GO:0010710,1,0
 GO:0030855,9,1
 GO:0030854,1,0
 GO:0008285,4,0
 GO:0008284,11,0
 GO:0008286,2,0
 GO:0008283,7,0
 GO:0006919,4,0
 GO:0051294,1,0
 GO:0051295,1,0
 GO:0006915,9,0
 GO:0006914,5,0
 GO:0008289,6,0
 GO:0051291,5,0
 GO:0006911,1,0
 GO:0006097,1,1
 GO:0051764,2,0
 GO:0009642,1,1
 GO:0000777,1,0
 GO:0007179,3,0
 GO:0051297,1,0
 GO:0003279,1,0
 GO:0032925,1,0
 GO:0007200,1,0
 GO:0006913,12,0
 GO:0007204,1,0
 GO:0004364,1,0
 GO:0006355,9,0
 GO:0006357,5,1
 GO:0006351,22,0
 GO:0051901,1,1
 GO:0043014,1,0
 GO:0007195,1,0
 GO:0032755,1,0
 GO:0006821,4,0
 GO:0006826,1,0
 GO:0006825,2,0
 GO:1902896,1,0
GO:0031225,1,0
 GO:0005811,2,0
 GO:0008354,1,0
 GO:0005737,96,3
 GO:0005730,40,0
GO:0045177,6,0
 GO:0005739,68,3
 GO:1903206,1,0
 GO:0005547,2,0
 GO:0097350,1,0
 GO:0017157,2,0
GO:0030863,2,0
GO:0030864,3,0
 GO:0012501,1,0
 GO:0012505,2,0
 GO:0012506,3,1
 GO:0000776,2,0
 GO:0055117,1,0
 GO:0002674,1,0
 GO:0055114,6,0
 GO:0042470,22,0
 GO:0002291,1,0
 GO:0005840,4,0
 GO:0042475,5,0
 GO:0042476,1,0
 GO:1904188,1,1
 GO:0019985,1,0
GO:0005901,2,0
GO:0005903,1,0
 GO:0030953,1,0
 GO:0006006,3,0
 GO:1903377,1,0
 GO:1902231,1,0
 GO:1902235,1,0
 GO:0017022,2,0
 GO:0010629,3,0
 GO:0002457,1,0
 GO:0072318,1,0
 GO:0050885,3,0
 GO:0090324,1,0
 GO:0019626,1,0
 GO:0006468,2,0
 GO:0004462,1,0
 GO:1901185,1,0
 GO:0034361,3,0
 GO:0006644,2,0
 GO:0034365,1,0
 GO:0034364,3,0
 GO:0006641,3,1
 GO:0034366,1,0
 GO:0048741,1,0
 GO:0004860,1,0
 GO:0004864,1,0
 GO:0004867,2,0
 GO:0004866,2,0
 GO:0004869,3,0
 GO:0072001,1,0
 GO:0050774,1,0
 GO:0050775,1,0
 GO:0050776,1,0
 GO:0050773,1,0
 GO:0034260,2,0
 GO:0034380,1,0
 GO:0042699,1,0
 GO:0060699,1,0
 GO:0060690,1,0
GO:0030136,1,0
 GO:0005200,4,0
 GO:0005201,7,1
 GO:0030449,1,0
 GO:0034707,3,0
 GO:0045202,6,0
 GO:0034701,1,0
 GO:0014059,1,0
 GO:1903146,1,0
GO:0005694,1,0
 GO:0000287,4,1
 GO:0010008,2,0
 GO:0042026,3,0
 GO:0032357,1,0
 GO:0032355,10,1
 GO:0015232,1,0
 GO:0031674,2,0
 GO:0032358,1,0
 GO:0031398,4,0
 GO:0031397,3,0
 GO:0031396,1,0
 GO:0004089,2,0
 GO:0031394,1,0
 GO:2000379,2,0
 GO:2000378,1,0
 GO:0035385,1,0
 GO:0020037,3,1
 GO:2000377,1,0
 GO:0090314,1,0
 GO:0031000,1,0
 GO:0060740,1,0
 GO:0030061,1,0
 GO:0035019,1,0
 GO:0034014,1,0
 GO:0031625,12,0
 GO:0045793,1,0
 GO:0031623,4,0
 GO:0010595,2,0
 GO:0010596,2,1
